Wavelength	Absorbance
nm	 A
	ATK 61
	
3300	0.11183
3296	0.06745
3292	0.07296
3288	0.06319
3284	0.08009
3280	0.07962
3276	0.06826
3272	0.07642
3268	0.10335
3264	0.09607
3260	0.10113
3256	0.09695
3252	0.08243
3248	0.08482
3244	0.07781
3240	0.07974
3236	0.09766
3232	0.07713
3228	0.09472
3224	0.08626
3220	0.0882
3216	0.08911
3212	0.08668
3208	0.09612
3204	0.09344
3200	0.09643
3196	0.0931
3192	0.07885
3188	0.08303
3184	0.10191
3180	0.08591
3176	0.09459
3172	0.09947
3168	0.10328
3164	0.10259
3160	0.10701
3156	0.10054
3152	0.10007
3148	0.1067
3144	0.10611
3140	0.10101
3136	0.09316
3132	0.10261
3128	0.10352
3124	0.10374
3120	0.09831
3116	0.10663
3112	0.10822
3108	0.10759
3104	0.10773
3100	0.1013
3096	0.10373
3092	0.10578
3088	0.10882
3084	0.11213
3080	0.11084
3076	0.11087
3072	0.10976
3068	0.111
3064	0.11085
3060	0.11059
3056	0.11301
3052	0.11332
3048	0.11552
3044	0.11127
3040	0.1145
3036	0.11253
3032	0.114
3028	0.11166
3024	0.11403
3020	0.11496
3016	0.11343
3012	0.11456
3008	0.11419
3004	0.11523
3000	0.11472
2996	0.11667
2992	0.11567
2988	0.11564
2984	0.11672
2980	0.11713
2976	0.11719
2972	0.11745
2968	0.11833
2964	0.11812
2960	0.11842
2956	0.11785
2952	0.11781
2948	0.11824
2944	0.11788
2940	0.11732
2936	0.11784
2932	0.11971
2928	0.11891
2924	0.11841
2920	0.11846
2916	0.11819
2912	0.11878
2908	0.1184
2904	0.11862
2900	0.1189
2896	0.11859
2892	0.11873
2888	0.11872
2884	0.11912
2880	0.1197
2876	0.11913
2872	0.11902
2868	0.11932
2864	0.11921
2860	0.11923
2856	0.11866
2852	0.11849
2848	0.11844
2844	0.11829
2840	0.1184
2836	0.11837
2832	0.11798
2828	0.11808
2824	0.11804
2820	0.11853
2816	0.11836
2812	0.1186
2808	0.11804
2804	0.11787
2800	0.11768
2796	0.11771
2792	0.11804
2788	0.1189
2784	0.1186
2780	0.11815
2776	0.118
2772	0.11818
2768	0.11783
2764	0.11822
2760	0.11745
2756	0.11643
2752	0.11688
2748	0.11715
2744	0.11684
2740	0.11584
2736	0.11464
2732	0.11518
2728	0.11528
2724	0.11536
2720	0.11538
2716	0.11532
2712	0.11439
2708	0.11357
2704	0.11332
2700	0.11223
2696	0.11185
2692	0.11179
2688	0.11162
2684	0.112
2680	0.11218
2676	0.11193
2672	0.11197
2668	0.11003
2664	0.10736
2660	0.10631
2656	0.10559
2652	0.10527
2648	0.1055
2644	0.10572
2640	0.10663
2636	0.10727
2632	0.10739
2628	0.10735
2624	0.10611
2620	0.10576
2616	0.10595
2612	0.10579
2608	0.10557
2604	0.10508
2600	0.10482
2596	0.10378
2592	0.10224
2588	0.102
2584	0.10133
2580	0.10007
2576	0.09939
2572	0.0989
2568	0.09843
2564	0.09788
2560	0.09728
2556	0.09661
2552	0.09636
2548	0.09667
2544	0.09652
2540	0.09626
2536	0.09585
2532	0.09487
2528	0.09451
2524	0.09464
2520	0.09463
2516	0.09432
2512	0.09382
2508	0.09355
2504	0.09341
2500	0.09283
2496	0.0924
2492	0.09201
2488	0.09124
2484	0.09091
2480	0.09053
