Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
499.9761,-6.37436,-8.81471,-8.54602
500.4582,-6.39385,-8.79698,-8.55616
500.9404,-6.41183,-8.77958,-8.56257
501.4225,-6.42449,-8.76177,-8.56491
501.9046,-6.43046,-8.74264,-8.56324
502.3868,-6.43157,-8.72141,-8.55823
502.8689,-6.43213,-8.69792,-8.55136
503.351,-6.43701,-8.67303,-8.54474
503.8332,-6.44963,-8.64857,-8.54081
504.3153,-6.47061,-8.62688,-8.54162
504.7975,-6.49775,-8.60998,-8.5482
505.2796,-6.52731,-8.59871,-8.56033
505.7617,-6.55576,-8.59224,-8.57661
506.2439,-6.58117,-8.58819,-8.59508
506.726,-6.60355,-8.58305,-8.61378
507.2081,-6.62395,-8.57314,-8.63141
507.6903,-6.64323,-8.55563,-8.64753
508.1724,-6.6609,-8.52942,-8.66246
508.6545,-6.67477,-8.49561,-8.67689
509.1367,-6.68187,-8.45738,-8.6913
509.6188,-6.68005,-8.41926,-8.70574
510.101,-6.66925,-8.38621,-8.71974
510.5831,-6.6517,-8.36258,-8.73281
511.0652,-6.63116,-8.35124,-8.74467
511.5474,-6.61143,-8.35302,-8.75546
512.0295,-6.59531,-8.36642,-8.76571
512.5117,-6.58416,-8.38792,-8.77591
512.9938,-6.57825,-8.41266,-8.78613
513.476,-6.5777,-8.43546,-8.79579
513.9581,-6.58326,-8.45191,-8.8038
514.4402,-6.59645,-8.45912,-8.80881
514.9224,-6.61866,-8.45617,-8.8097
515.4045,-6.64991,-8.44398,-8.80593
515.8866,-6.68789,-8.42467,-8.79749
516.3688,-6.7278,-8.40071,-8.78475
516.8509,-6.76351,-8.37394,-8.76805
517.333,-6.78935,-8.34522,-8.7474
517.8152,-6.80175,-8.31442,-8.72241
518.2973,-6.80021,-8.28102,-8.6924
518.7794,-6.78708,-8.24484,-8.65695
519.2616,-6.76635,-8.20681,-8.61634
519.7437,-6.74197,-8.16909,-8.57191
520.2258,-6.71638,-8.13446,-8.52579
520.708,-6.69016,-8.10543,-8.48023
521.1901,-6.66294,-8.08344,-8.43706
521.6722,-6.63477,-8.06878,-8.39735
522.1544,-6.60688,-8.06072,-8.36158
522.6365,-6.5815,-8.05794,-8.32985
523.1187,-6.56097,-8.05884,-8.30216
523.6008,-6.5464,-8.06169,-8.27841
524.0829,-6.53692,-8.06474,-8.25837
524.5651,-6.52994,-8.06634,-8.24169
525.0472,-6.52235,-8.06497,-8.22774
525.5294,-6.51221,-8.05947,-8.21584
526.0115,-6.49981,-8.04915,-8.20524
526.4937,-6.48761,-8.03401,-8.19535
526.9758,-6.47914,-8.01482,-8.18559
527.4579,-6.47744,-7.99297,-8.17534
527.9401,-6.48358,-7.97025,-8.16394
528.4222,-6.49625,-7.94844,-8.15053
