temperature,signal
25.54444,-0.1331989
25.5453,-0.1332599
25.54735,-0.1333153
25.54779,-0.1334658
25.54786,-0.1332158
25.54822,-0.1333988
25.54994,-0.1315565
25.55316,-0.1339913
25.55375,-0.1335636
25.55376,-0.1332381
25.55506,-0.1338164
25.55643,-0.1346588
25.5571,-0.1336722
25.56032,-0.1344114
25.5615,-0.1351821
25.56238,-0.1342144
25.5627,-0.1347884
25.56412,-0.1345283
25.56817,-0.1349549
25.57022,-0.1352431
25.57112,-0.1352236
25.57169,-0.1350597
25.57783,-0.13518
25.57826,-0.1351589
25.58243,-0.1350411
25.58266,-0.1351457
25.58678,-0.1348921
25.58928,-0.1346858
25.59927,-0.1344486
25.60855,-0.1341624
25.61232,-0.1338572
25.61826,-0.1335787
25.6269,-0.1332719
25.63711,-0.1328371
25.64572,-0.1323123
25.65426,-0.1317552
25.66397,-0.1311645
25.67664,-0.130481
25.68636,-0.1297771
25.7007,-0.1289799
25.71992,-0.128125
25.72503,-0.1271577
25.74428,-0.126131
25.759,-0.1250705
25.77969,-0.1239717
25.78926,-0.1228044
25.8044,-0.1215375
25.81665,-0.1202284
25.83025,-0.1188541
25.84844,-0.1173709
25.86973,-0.1158302
25.8854,-0.1142301
25.90596,-0.1125592
25.92772,-0.1107977
25.94224,-0.1089773
25.96698,-0.1071251
25.99166,-0.1052296
26.0158,-0.1032339
26.04102,-0.1011341
26.06924,-0.09900301
26.09552,-0.09680081
26.12702,-0.09453019
26.15563,-0.09218902
26.1745,-0.08975922
26.20402,-0.08725468
26.23633,-0.08462764
26.26554,-0.08191329
26.29763,-0.07916238
26.3326,-0.07637268
26.36234,-0.07348666
26.38928,-0.07048353
26.42094,-0.0674265
26.46047,-0.06428548
26.48974,-0.06111401
26.52976,-0.05786668
26.56919,-0.0545629
26.60593,-0.05121164
26.64638,-0.04776117
26.68424,-0.04420982
26.72159,-0.04065022
26.76154,-0.03701372
26.80972,-0.0333024
26.85316,-0.02950184
26.89501,-0.02560891
26.9376,-0.02167804
26.98368,-0.01765435
27.02512,-0.01352537
27.07776,-0.0093778
27.12913,-0.0051529
27.1723,-0.00080797
27.22263,0.00354825
27.27252,0.007987619
27.32582,0.01252598
27.38251,0.01707937
27.43491,0.0217521
27.48852,0.0264618
27.54037,0.03123021
27.60187,0.03606993
27.65844,0.040972
27.71247,0.0459469
27.76889,0.0510249
27.82688,0.05616762
27.88893,0.06131954
27.95465,0.06653328
28.00946,0.07174236
28.0713,0.0770336
28.1356,0.08241806
28.19404,0.08785734
28.25706,0.09333378
28.32164,0.09883803
28.3996,0.1043575
28.4675,0.1099305
28.53056,0.115551
28.60629,0.1212651
28.66945,0.1270569
28.73578,0.1328928
28.80774,0.1386899
28.87583,0.144608
28.95044,0.1505505
29.01994,0.1565035
29.0977,0.1625686
29.17018,0.1686456
29.2417,0.1747611
29.31549,0.1809312
29.3885,0.1871742
29.46901,0.1934828
29.54785,0.1998362
29.62452,0.2061446
29.70406,0.2125197
29.78784,0.2189668
29.86604,0.225436
29.94902,0.23197
30.0346,0.2385448
