temperature,signal
499.9761,-8.81471
500.4582,-8.79698
500.9404,-8.77958
501.4225,-8.76177
501.9046,-8.74264
502.3868,-8.72141
502.8689,-8.69792
503.351,-8.67303
503.8332,-8.64857
504.3153,-8.62688
504.7975,-8.60998
505.2796,-8.59871
505.7617,-8.59224
506.2439,-8.58819
506.726,-8.58305
507.2081,-8.57314
507.6903,-8.55563
508.1724,-8.52942
508.6545,-8.49561
509.1367,-8.45738
509.6188,-8.41926
510.101,-8.38621
510.5831,-8.36258
511.0652,-8.35124
511.5474,-8.35302
512.0295,-8.36642
512.5117,-8.38792
512.9938,-8.41266
513.476,-8.43546
513.9581,-8.45191
514.4402,-8.45912
514.9224,-8.45617
515.4045,-8.44398
515.8866,-8.42467
516.3688,-8.40071
516.8509,-8.37394
517.333,-8.34522
517.8152,-8.31442
518.2973,-8.28102
518.7794,-8.24484
519.2616,-8.20681
519.7437,-8.16909
520.2258,-8.13446
520.708,-8.10543
521.1901,-8.08344
521.6722,-8.06878
522.1544,-8.06072
522.6365,-8.05794
523.1187,-8.05884
523.6008,-8.06169
524.0829,-8.06474
524.5651,-8.06634
525.0472,-8.06497
525.5294,-8.05947
526.0115,-8.04915
526.4937,-8.03401
526.9758,-8.01482
527.4579,-7.99297
527.9401,-7.97025
528.4222,-7.94844
528.9043,-7.92886
529.3865,-7.9122
529.8686,-7.89838
530.3507,-7.88667
530.8329,-7.87587
531.315,-7.86457
531.7971,-7.85142
532.2793,-7.83544
532.7614,-7.81615
533.2435,-7.79373
533.7257,-7.76903
534.2078,-7.74344
534.6899,-7.71856
535.1721,-7.6958
535.6542,-7.67577
536.1364,-7.65805
536.6185,-7.64129
537.1006,-7.62375
537.5828,-7.60382
538.0649,-7.58053
538.5471,-7.55367
539.0292,-7.52369
539.5114,-7.4914
539.9935,-7.45759
540.4756,-7.4229
540.9578,-7.38777
541.4399,-7.35266
541.922,-7.31826
542.4042,-7.28553
542.8863,-7.25566
543.3684,-7.22969
543.8506,-7.20822
544.3327,-7.19122
544.8148,-7.17812
545.297,-7.16816
