temperature,signal
50.43945,0.02929
52.36792,0.02959
54.29638,0.02835
56.22485,0.02802
58.15332,0.0287
60.08178,0.02834
62.01025,0.0269
63.93872,0.02493
65.86718,0.02296
67.79565,0.02351
69.72412,0.02407
71.65258,0.02446
73.58105,0.02553
75.50952,0.02543
77.43798,0.02376
79.36645,0.02244
81.29492,0.02155
83.22338,0.01893
85.15185,0.01749
87.08032,0.01929
89.00878,0.02195
90.93725,0.02352
92.86572,0.02595
94.79419,0.02807
96.72265,0.02976
98.65112,0.032
100.57959,0.03573
102.50805,0.0396
104.43652,0.04007
106.36499,0.03783
108.29345,0.03603
110.22192,0.03852
112.15039,0.03798
114.07885,0.03589
116.00732,0.03482
117.93579,0.03542
119.86425,0.03508
121.79272,0.03134
123.72119,0.03056
125.64965,0.02998
127.57812,0.02673
129.50659,0.02499
131.43505,0.02407
133.36352,0.02351
135.29199,0.02436
137.22045,0.0278
139.14892,0.03215
141.07739,0.03773
143.00586,0.04526
144.93432,0.04917
146.86279,0.0417
148.79126,0.03293
150.71972,0.02874
152.64819,0.02826
154.57666,0.02871
156.50512,0.02666
158.43359,0.02207
160.36206,0.02178
162.29052,0.02394
164.21899,0.02613
166.14746,0.02798
168.07592,0.03072
170.00439,0.02838
171.93286,0.02458
173.86132,0.02383
175.78979,0.02654
177.71826,0.02542
179.64672,0.02441
181.57519,0.02621
183.50366,0.03115
185.43212,0.03448
187.36059,0.0421
189.28906,0.05679
191.21752,0.0701
193.14599,0.07422
195.07446,0.08204
197.00293,0.07588
198.93139,0.05585
200.85986,0.03304
202.78833,0.02035
204.71679,0.01391
206.64526,0.01166
208.57373,0.011
210.50219,0.01063
212.43066,0.01038
214.35913,0.01119
216.28759,0.01032
218.21606,0.00821
220.14453,0.00717
222.07299,0.00885
224.00146,0.00491
225.92993,0.00788
227.85839,0.00896
229.78686,0.00715
231.71533,0.00739
233.6438,0.00516
235.57226,0.0056
237.50073,0.00568
239.42919,0.00477
241.35766,0.00467
243.28613,0.00737
245.2146,0.00606
247.14306,0.00496
249.07153,0.0054
251.0,0.00567
252.92846,0.00447
254.85693,0.00689
256.7854,0.0091
258.71386,0.00891
260.64233,0.00689
262.5708,0.00829
264.49926,0.01078
266.42773,0.01383
268.3562,0.02026
270.28466,0.03228
272.21313,0.04093
274.1416,0.03502
276.07006,0.02323
277.99853,0.01339
279.927,0.0094
281.85547,0.00603
283.78393,0.00455
285.7124,0.00401
287.64087,0.00369
289.56933,0.00345
291.4978,0.00449
293.42627,0.00564
295.35473,0.00473
297.2832,0.00137
299.21167,-0.00172
301.14013,0.00294
303.0686,0.00272
304.99707,0.00117
306.92553,0.00135
308.854,0.00326
310.78247,0.00221
312.71093,0.000541923
314.6394,0.000599585
316.56787,0.00229
318.49633,0.00391
320.4248,0.00308
322.35327,0.00309
324.28173,0.00143
326.2102,0.000239673
328.13867,0.00109
330.06714,0.00346
331.9956,0.00146
333.92407,0.00304
335.85253,0.00306
337.781,0.00196
339.70947,0.00275
341.63794,-0.00057247
343.5664,0.000324155
345.49487,0.00303
347.42334,0.00407
349.3518,0.00165
351.28027,-0.00134
353.20874,0.000400044
355.1372,0.00196
357.06567,0.00237
358.99414,0.0021
360.9226,0.00182
362.85107,0.00211
364.77954,0.00266
366.708,0.00325
368.63647,0.00383
370.56494,0.00403
372.4934,0.000460129
374.42187,-0.00277
376.35034,-0.000926777
378.2788,0.00316
380.20727,0.00409
382.13574,0.00339
384.06421,0.00412
385.99267,0.00229
387.92114,0.00158
389.84961,0.00342
391.77807,0.00128
393.70654,0.00254
395.63501,0.00343
397.56347,0.00252
399.49194,0.000644218
401.42041,0.000135827
403.34887,0.00154
405.27734,0.00323
407.20581,0.00299
409.13427,0.0015
411.06274,0.000721819
412.99121,0.0015
414.91967,0.00373
416.84814,0.00755
418.77661,0.00882
420.70507,0.00768
422.63354,0.00977
424.56201,0.00539
426.49047,0.00384
428.41894,0.0027
430.34741,0.0012
432.27588,0.000607734
434.20434,0.00195
436.13281,0.0035
438.06128,0.00298
439.98974,0.000762137
441.91821,-0.00107
443.84668,6.3306e-05
445.77514,0.00138
447.70361,0.00144
449.63208,0.00024454
451.56054,0.000647174
453.48901,0.00435
455.41748,0.00336
457.34594,0.00179
459.27441,0.00157
461.20288,0.00271
463.13134,0.00353
465.05981,0.00166
466.98828,-0.00107
468.91674,-0.000855892
470.84521,0.000656663
472.77368,0.00213
474.70214,0.00322
476.63061,0.00442
478.55908,0.00325
480.48755,0.00151
482.41601,0.00131
484.34448,0.00162
486.27294,-0.000770063
488.20141,-0.000330895
490.12988,0.00295
492.05834,0.00405
493.98681,0.00173
495.91528,-0.00201
497.84375,-0.00354
499.77221,-0.00257
501.70068,-0.00124
503.62915,-0.000538908
505.55761,-0.000557248
507.48608,-0.000561562
509.41455,0.000922422
511.34301,0.00193
513.27148,-0.000254528
515.19995,-0.00296
517.12841,-0.00235
519.05688,0.00256
520.98535,0.000280218
522.91381,-0.000994245
524.84228,-0.000379942
526.77075,0.00101
528.69921,0.00124
530.62768,-0.00108
532.55615,-0.000989373
534.48462,0.000804435
536.41308,0.00249
538.34155,0.00292
540.27002,0.00205
542.19848,0.000941012
544.12695,0.000744419
546.05542,0.000274457
547.98388,0.000243288
549.91235,0.00161
551.84082,0.00391
553.76928,0.00227
555.69775,0.00104
557.62622,0.00076153
559.55468,0.00213
561.48315,0.00303
563.41162,0.000298028
565.34008,0.00173
567.26855,-0.000131611
569.19702,0.000680977
571.12548,0.00162
573.05395,0.00083091
574.98242,0.0017
576.91089,0.00141
578.83935,0.00202
580.76782,0.00227
582.69628,0.00149
584.62475,0.000583709
586.55322,0.00164
588.48168,0.00173
590.41015,0.0022
592.33862,0.000276085
594.26709,-0.00036191
596.19555,0.00213
