temperature,signal
5.01156514,10271.0
5.024695423,10166.0
5.037825705,10177.0
5.050955988,10232.0
5.064086271,10020.0
5.077216553,9908.0
5.090346836,9992.0
5.103477119,9822.0
5.116607401,9719.0
5.129737684,9877.0
5.142867967,9858.0
5.155998249,9795.0
5.169128532,9448.0
5.182258815,9461.0
5.195389097,9499.0
5.20851938,9513.0
5.221649663,9283.0
5.234779946,9332.0
5.247910228,9119.0
5.261040511,9357.0
5.274170794,9114.0
5.287301076,9099.0
5.300431359,8948.0
5.313561642,9093.0
5.326691924,8964.0
5.339822207,8925.0
5.35295249,8890.0
5.366082772,8838.0
5.379213055,8778.0
5.392343338,8584.0
5.40547362,8608.0
5.418603903,8790.0
5.431734186,8569.0
5.444864468,8621.0
5.457994751,8533.0
5.471125034,8393.0
5.484255316,8242.0
5.497385599,8365.0
5.510515882,8235.0
5.523646164,8381.0
5.536776447,8420.0
5.54990673,8118.0
5.563037012,8134.0
5.576167295,8056.0
5.589297578,8143.0
5.60242786,8002.0
5.615558143,7789.0
5.628688426,7799.0
5.641818708,7696.0
5.654948991,7895.0
5.668079274,7702.0
5.681209557,7809.0
5.694339839,7832.0
5.707470122,7720.0
5.720600405,7522.0
5.733730687,7563.0
5.74686097,7564.0
5.759991253,7585.0
5.773121535,7484.0
5.786251818,7490.0
5.799382101,7490.0
5.812512383,7641.0
5.825642666,7324.0
5.838772949,7363.0
5.851903231,7362.0
5.865033514,7303.0
5.878163797,7235.0
5.891294079,7084.0
5.904424362,7210.0
5.917554645,6963.0
5.930684927,7149.0
5.94381521,7052.0
5.956945493,6990.0
5.970075775,7000.0
5.983206058,7025.0
5.996336341,6926.0
6.009466623,6945.0
6.022596906,6906.0
6.035727189,6932.0
6.048857471,6871.0
6.061987754,6639.0
6.075118037,6794.0
6.088248319,6668.0
6.101378602,6707.0
6.114508885,6705.0
6.127639168,6613.0
6.14076945,6563.0
6.153899733,6567.0
6.167030016,6516.0
6.180160298,6629.0
6.193290581,6468.0
6.206420864,6460.0
6.219551146,6425.0
6.232681429,6404.0
6.245811712,6348.0
6.258941994,6324.0
6.272072277,6343.0
6.28520256,6254.0
6.298332842,6333.0
6.311463125,6242.0
6.324593408,6168.0
6.33772369,6209.0
6.350853973,6152.0
6.363984256,6160.0
6.377114538,6055.0
6.390244821,6054.0
6.403375104,6126.0
6.416505386,5959.0
6.429635669,5988.0
6.442765952,5920.0
6.455896234,5948.0
6.469026517,5755.0
6.4821568,5796.0
6.495287082,5877.0
6.508417365,5798.0
6.521547648,5654.0
6.53467793,5748.0
6.547808213,5779.0
6.560938496,5727.0
6.574068779,5561.0
6.587199061,5680.0
6.600329344,5694.0
6.613459627,5809.0
6.626589909,5621.0
6.639720192,5579.0
6.652850475,5632.0
6.665980757,5581.0
6.67911104,5378.0
6.692241323,5337.0
6.705371605,5470.0
6.718501888,5415.0
6.731632171,5379.0
6.744762453,5403.0
6.757892736,5351.0
6.771023019,5304.0
6.784153301,5364.0
6.797283584,5353.0
6.810413867,5247.0
6.823544149,5247.0
6.836674432,5159.0
6.849804715,5057.0
6.862934997,5142.0
6.87606528,5166.0
6.889195563,5004.0
6.902325845,4908.0
6.915456128,5014.0
6.928586411,5115.0
6.941716693,5092.0
6.954846976,5031.0
6.967977259,5037.0
6.981107542,4977.0
6.994237824,4988.0
7.007368107,4937.0
7.02049839,4805.0
7.033628672,4808.0
7.046758955,4910.0
7.059889238,4821.0
7.07301952,4809.0
7.086149803,4974.0
7.099280086,4746.0
7.112410368,4855.0
7.125540651,4750.0
7.138670934,4732.0
7.151801216,4722.0
7.164931499,4693.0
7.178061782,4744.0
7.191192064,4732.0
7.204322347,4641.0
7.21745263,4574.0
7.230582912,4569.0
7.243713195,4672.0
7.256843478,4604.0
7.26997376,4492.0
7.283104043,4516.0
7.296234326,4446.0
7.309364608,4543.0
7.322494891,4489.0
7.335625174,4422.0
7.348755456,4502.0
7.361885739,4487.0
7.375016022,4470.0
7.388146304,4374.0
7.401276587,4336.0
7.41440687,4389.0
7.427537153,4402.0
7.440667435,4420.0
7.453797718,4413.0
